tyreManufacturing,TyreAssemblyProcess,CompoundMixingProcess,calandrage,ChemicalPlant,RawMaterialForElastomer,ElastomerSynthesisProcess,RealElastomer,ElastomerCharacterization,Density ,Hardness (Shore A),Tensile Strength (MPa),Elongation at Break (%),Thermal Stability 
Michelin tyre process,Radial Tyre Building,Open Mill Mixing,4-Roll Calender,Lanxess,"Nitrile Monomer, Vulcanizing Agents",Co-Polymerization,Nitrile Rubber (NBR),Moving Die Rheometry (MDR),0.94,74,14.4,400,121
Michelin tyre process,Radial Tyre Building,Banbury Mixing (Intensive),3-Roll Calender,ExxonMobil,"Chloroprene Monomer, Plasticizers",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Tensile Modulus (%),1.01,69,14.4,477,124
Michelin tyre process,Radial Tyre Building,Open Mill Mixing,3-Roll Calender,ExxonMobil,"Isoprene Monomer, Softeners",Emulsion Polymerization,Butyl Rubber (IIR),Fourier Transform Infrared Spectroscopy (FTIR),0.94,64,14.1,432,102
Michelin tyre process,Tyre Curing,Open Mill Mixing,4-Roll Calender,Goodyear Chemical,"Isoprene Monomer, Softeners",Bulk Polymerization,Butyl Rubber (IIR),Tensile Modulus (%),1.03,65,19.7,478,159
Michelin tyre process,Tyre Curing,High Shear Mixing,3-Roll Calender,Michelin,"Chloroprene Monomer, Plasticizers",Bulk Polymerization,Chloroprene Rubber (CR),Fourier Transform Infrared Spectroscopy (FTIR),0.91,72,14.4,477,127
Michelin tyre process,Tyre Curing,High Shear Mixing,Multi-Roll Calender,Michelin,"Styrene, Butadiene, Antioxidants",Co-Polymerization,Butyl Rubber (IIR),Dynamic Mechanical Analysis (DMA),1.1,64,15.7,523,158
Michelin tyre process,Cap Ply Winding,Two-Stage Mixing,Sheeting Calender,Lanxess,"Styrene, Butadiene, Antioxidants",Bulk Polymerization,Butyl Rubber (IIR),Tensile Modulus (%),1.02,72,18.8,356,145
Michelin tyre process,Belt Building,Internal Mixing,Sheeting Calender,ExxonMobil,"Isoprene Monomer, Softeners",Co-Polymerization,Butyl Rubber (IIR),Tensile Modulus (%),1.1,72,20.2,514,127
Michelin tyre process,Microwave Curing,High Shear Mixing,Multi-Roll Calender,Lanxess,"Styrene, Butadiene, Antioxidants",Emulsion Polymerization,Polyisoprene Rubber (IR),Dynamic Mechanical Analysis (DMA),0.96,70,21.1,468,124
Michelin tyre process,Cap Ply Winding,Banbury Mixing (Intensive),Multi-Roll Calender,Goodyear Chemical,"Chloroprene Monomer, Plasticizers",Bulk Polymerization,Polyisoprene Rubber (IR),Gel Content (%),1.07,73,18.9,445,137
Michelin tyre process,Microwave Curing,High Shear Mixing,Sheeting Calender,ExxonMobil,"Chloroprene Monomer, Plasticizers",Carbon Black Reinforcement,Butyl Rubber (IIR),Dynamic Mechanical Analysis (DMA),0.9,72,20.9,516,152
Michelin tyre process,Belt Building,High Shear Mixing,Sheeting Calender,Michelin,"Nitrile Monomer, Vulcanizing Agents",Emulsion Polymerization,Natural Rubber (NR),Gel Content (%),1.03,62,15.5,537,153
Michelin tyre process,Microwave Curing,Internal Mixing,3-Roll Calender,Goodyear Chemical,"Ethylene, Propylene, Diene monomers",Emulsion Polymerization,Nitrile Rubber (NBR),Dynamic Mechanical Analysis (DMA),0.88,58,13.6,409,115
Michelin tyre process,Cap Ply Winding,Banbury Mixing (Intensive),Sheeting Calender,Michelin,"Nitrile Monomer, Vulcanizing Agents",Carbon Black Reinforcement,Styrene Butadiene Rubber (SBR),Gel Content (%),0.92,65,21,418,131
Michelin tyre process,Belt Building,Banbury Mixing (Intensive),4-Roll Calender,Goodyear Chemical,"Chloroprene Monomer, Plasticizers",Co-Polymerization,Natural Rubber (NR),Moving Die Rheometry (MDR),1.03,63,21.5,388,110
Michelin tyre process,Belt Building,Internal Mixing,Multi-Roll Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Solution Polymerization,Styrene Butadiene Rubber (SBR),Moving Die Rheometry (MDR),0.99,70,18.9,386,155
Michelin tyre process,Cap Ply Winding,Open Mill Mixing,3-Roll Calender,Lanxess,"Isoprene Monomer, Softeners",Carbon Black Reinforcement,Polyisoprene Rubber (IR),Dynamic Mechanical Analysis (DMA),0.86,68,18.9,514,116
Michelin tyre process,Belt Building,Open Mill Mixing,Sheeting Calender,Michelin,"Styrene, Butadiene, Antioxidants",Solution Polymerization,Polyisoprene Rubber (IR),Dynamic Mechanical Analysis (DMA),1.07,71,21,465,138
Michelin tyre process,Cap Ply Winding,Two-Stage Mixing,Sheeting Calender,Lanxess,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Natural Rubber (NR),Tensile Modulus (%),1,72,19.7,354,135
Michelin tyre process,Cap Ply Winding,Two-Stage Mixing,Sheeting Calender,Lanxess,"Chloroprene Monomer, Plasticizers",Co-Polymerization,Polyisoprene Rubber (IR),Gel Content (%),0.9,64,13.3,387,156
Michelin tyre process,Radial Tyre Building,Banbury Mixing (Intensive),3-Roll Calender,Michelin,"Styrene, Butadiene, Antioxidants",Bulk Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Dynamic Mechanical Analysis (DMA),1,64,14.2,384,131
Michelin tyre process,Cap Ply Winding,High Shear Mixing,4-Roll Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Carbon Black Reinforcement,Ethylene-Propylene Diene Monomer (EPDM),Dynamic Mechanical Analysis (DMA),0.98,62,17.5,503,151
Michelin tyre process,Cap Ply Winding,Internal Mixing,Sheeting Calender,ExxonMobil,"Isoprene Monomer, Softeners",Bulk Polymerization,Styrene Butadiene Rubber (SBR),Gel Content (%),1.02,67,16.5,354,124
Michelin tyre process,Microwave Curing,Two-Stage Mixing,3-Roll Calender,Goodyear Chemical,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Styrene Butadiene Rubber (SBR),Tensile Modulus (%),0.98,64,20.7,407,109
Michelin tyre process,Radial Tyre Building,Open Mill Mixing,4-Roll Calender,Dow Chemical,"Isoprene Monomer, Softeners",Emulsion Polymerization,Nitrile Rubber (NBR),Moving Die Rheometry (MDR),0.92,64,18.6,513,133
Michelin tyre process,Tyre Curing,Open Mill Mixing,4-Roll Calender,Goodyear Chemical,"Chloroprene Monomer, Plasticizers",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Gel Content (%),1.02,60,13.9,499,126
Michelin tyre process,Tyre Curing,Two-Stage Mixing,Sheeting Calender,Goodyear Chemical,"Styrene, Butadiene, Antioxidants",Carbon Black Reinforcement,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),1.02,72,21.8,511,131
Michelin tyre process,Cap Ply Winding,Two-Stage Mixing,Sheeting Calender,Lanxess,"Nitrile Monomer, Vulcanizing Agents",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),0.91,60,14.8,455,157
Michelin tyre process,Tyre Curing,Two-Stage Mixing,4-Roll Calender,Goodyear Chemical,"Nitrile Monomer, Vulcanizing Agents",Carbon Black Reinforcement,Ethylene-Propylene Diene Monomer (EPDM),Tensile Modulus (%),0.99,67,13.8,382,140
Michelin tyre process,Belt Building,Two-Stage Mixing,Multi-Roll Calender,Goodyear Chemical,"Ethylene, Propylene, Diene monomers",Solution Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),1.06,60,15.3,531,130
Michelin tyre process,Tyre Curing,Banbury Mixing (Intensive),4-Roll Calender,Michelin,"Chloroprene Monomer, Plasticizers",Bulk Polymerization,Polyisoprene Rubber (IR),Fourier Transform Infrared Spectroscopy (FTIR),1.03,67,21.5,541,127
Michelin tyre process,Microwave Curing,High Shear Mixing,Sheeting Calender,Lanxess,"Nitrile Monomer, Vulcanizing Agents",Emulsion Polymerization,Natural Rubber (NR),Gel Content (%),1.05,61,13,491,116
Michelin tyre process,Cap Ply Winding,Two-Stage Mixing,3-Roll Calender,Michelin,"Chloroprene Monomer, Plasticizers",Bulk Polymerization,Polyisoprene Rubber (IR),Dynamic Mechanical Analysis (DMA),1.08,73,20.3,365,116
Michelin tyre process,Belt Building,Internal Mixing,3-Roll Calender,Dow Chemical,"Styrene, Butadiene, Antioxidants",Emulsion Polymerization,Polyisoprene Rubber (IR),Tensile Modulus (%),1.09,63,16.4,401,121
Michelin tyre process,Tyre Curing,High Shear Mixing,4-Roll Calender,Dow Chemical,"Nitrile Monomer, Vulcanizing Agents",Emulsion Polymerization,Polyisoprene Rubber (IR),Tensile Modulus (%),1.01,58,18.6,510,106
Michelin tyre process,Belt Building,Internal Mixing,4-Roll Calender,Dow Chemical,"Chloroprene Monomer, Plasticizers",Emulsion Polymerization,Chloroprene Rubber (CR),Fourier Transform Infrared Spectroscopy (FTIR),1.06,56,18.8,448,150
Michelin tyre process,Radial Tyre Building,Internal Mixing,4-Roll Calender,Dow Chemical,"Isoprene Monomer, Softeners",Carbon Black Reinforcement,Ethylene-Propylene Diene Monomer (EPDM),Fourier Transform Infrared Spectroscopy (FTIR),1.09,65,20.5,498,141
Michelin tyre process,Cap Ply Winding,Banbury Mixing (Intensive),Sheeting Calender,Goodyear Chemical,"Isoprene Monomer, Softeners",Solution Polymerization,Natural Rubber (NR),Tensile Modulus (%),0.95,65,15.2,451,131
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,Sheeting Calender,Lanxess,"Ethylene, Propylene, Diene monomers",Carbon Black Reinforcement,Ethylene-Propylene Diene Monomer (EPDM),Fourier Transform Infrared Spectroscopy (FTIR),0.91,72,19,477,139
Michelin tyre process,Tyre Curing,Internal Mixing,Sheeting Calender,ExxonMobil,"Nitrile Monomer, Vulcanizing Agents",Solution Polymerization,Polyisoprene Rubber (IR),Dynamic Mechanical Analysis (DMA),0.93,69,19.1,367,108
Michelin tyre process,Belt Building,High Shear Mixing,4-Roll Calender,Dow Chemical,"Styrene, Butadiene, Antioxidants",Solution Polymerization,Polyisoprene Rubber (IR),Tensile Modulus (%),0.96,66,20.7,377,116
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,4-Roll Calender,Dow Chemical,"Chloroprene Monomer, Plasticizers",Carbon Black Reinforcement,Polyisoprene Rubber (IR),Moving Die Rheometry (MDR),0.97,58,16.2,485,125
Michelin tyre process,Microwave Curing,Open Mill Mixing,3-Roll Calender,Dow Chemical,"Chloroprene Monomer, Plasticizers",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Gel Content (%),0.91,74,13,359,135
Michelin tyre process,Microwave Curing,Banbury Mixing (Intensive),Multi-Roll Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Butyl Rubber (IIR),Fourier Transform Infrared Spectroscopy (FTIR),0.96,57,19.3,442,134
Michelin tyre process,Microwave Curing,High Shear Mixing,4-Roll Calender,Lanxess,"Nitrile Monomer, Vulcanizing Agents",Bulk Polymerization,Styrene Butadiene Rubber (SBR),Gel Content (%),0.89,72,17.1,514,152
Michelin tyre process,Belt Building,Banbury Mixing (Intensive),4-Roll Calender,Lanxess,"Nitrile Monomer, Vulcanizing Agents",Co-Polymerization,Chloroprene Rubber (CR),Moving Die Rheometry (MDR),1.08,57,18.8,484,113
Michelin tyre process,Radial Tyre Building,Open Mill Mixing,4-Roll Calender,ExxonMobil,"Styrene, Butadiene, Antioxidants",Carbon Black Reinforcement,Natural Rubber (NR),Gel Content (%),0.9,55,16.7,442,119
Michelin tyre process,Microwave Curing,High Shear Mixing,Sheeting Calender,Lanxess,"Styrene, Butadiene, Antioxidants",Bulk Polymerization,Nitrile Rubber (NBR),Dynamic Mechanical Analysis (DMA),0.98,69,16.2,448,129
Michelin tyre process,Belt Building,Banbury Mixing (Intensive),4-Roll Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Emulsion Polymerization,Butyl Rubber (IIR),Tensile Modulus (%),0.88,57,19.4,438,140
Michelin tyre process,Microwave Curing,Internal Mixing,3-Roll Calender,Dow Chemical,"Nitrile Monomer, Vulcanizing Agents",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Fourier Transform Infrared Spectroscopy (FTIR),0.91,58,14.7,364,110
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,Sheeting Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Tensile Modulus (%),1.01,67,19.4,362,140
Michelin tyre process,Cap Ply Winding,Internal Mixing,Sheeting Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Chloroprene Rubber (CR),Gel Content (%),0.85,73,18.9,402,124
Michelin tyre process,Microwave Curing,Internal Mixing,Sheeting Calender,Michelin,"Isoprene Monomer, Softeners",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Gel Content (%),1.06,62,21.5,424,102
Michelin tyre process,Tyre Curing,Banbury Mixing (Intensive),Sheeting Calender,Dow Chemical,"Chloroprene Monomer, Plasticizers",Carbon Black Reinforcement,Nitrile Rubber (NBR),Tensile Modulus (%),1.09,55,15.3,524,143
Michelin tyre process,Microwave Curing,High Shear Mixing,Multi-Roll Calender,Lanxess,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Chloroprene Rubber (CR),Dynamic Mechanical Analysis (DMA),0.91,74,18.9,358,159
Michelin tyre process,Tyre Curing,High Shear Mixing,Multi-Roll Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Chloroprene Rubber (CR),Dynamic Mechanical Analysis (DMA),0.9,68,14.2,466,151
Michelin tyre process,Cap Ply Winding,High Shear Mixing,Multi-Roll Calender,Dow Chemical,"Nitrile Monomer, Vulcanizing Agents",Solution Polymerization,Nitrile Rubber (NBR),Moving Die Rheometry (MDR),0.91,56,17.5,451,116
Michelin tyre process,Tyre Curing,Banbury Mixing (Intensive),Multi-Roll Calender,Michelin,"Ethylene, Propylene, Diene monomers",Solution Polymerization,Chloroprene Rubber (CR),Fourier Transform Infrared Spectroscopy (FTIR),1.01,67,20.7,545,141
Michelin tyre process,Cap Ply Winding,Open Mill Mixing,4-Roll Calender,Michelin,"Chloroprene Monomer, Plasticizers",Carbon Black Reinforcement,Ethylene-Propylene Diene Monomer (EPDM),Gel Content (%),1.07,66,20.9,448,146
Michelin tyre process,Cap Ply Winding,Internal Mixing,4-Roll Calender,ExxonMobil,"Styrene, Butadiene, Antioxidants",Carbon Black Reinforcement,Natural Rubber (NR),Tensile Modulus (%),0.94,62,16.3,549,159
Michelin tyre process,Microwave Curing,Internal Mixing,3-Roll Calender,ExxonMobil,"Chloroprene Monomer, Plasticizers",Carbon Black Reinforcement,Butyl Rubber (IIR),Moving Die Rheometry (MDR),0.97,60,20.9,459,144
Michelin tyre process,Cap Ply Winding,Internal Mixing,Multi-Roll Calender,Goodyear Chemical,"Chloroprene Monomer, Plasticizers",Bulk Polymerization,Chloroprene Rubber (CR),Moving Die Rheometry (MDR),1.1,59,20.7,429,104
Michelin tyre process,Radial Tyre Building,High Shear Mixing,Sheeting Calender,Lanxess,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Butyl Rubber (IIR),Moving Die Rheometry (MDR),0.87,73,16.5,392,150
Michelin tyre process,Cap Ply Winding,Internal Mixing,4-Roll Calender,Michelin,"Styrene, Butadiene, Antioxidants",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.9,73,18.4,406,108
Michelin tyre process,Cap Ply Winding,High Shear Mixing,4-Roll Calender,Goodyear Chemical,"Ethylene, Propylene, Diene monomers",Solution Polymerization,Chloroprene Rubber (CR),Fourier Transform Infrared Spectroscopy (FTIR),0.88,68,20,477,136
Michelin tyre process,Belt Building,High Shear Mixing,Multi-Roll Calender,Michelin,"Nitrile Monomer, Vulcanizing Agents",Bulk Polymerization,Nitrile Rubber (NBR),Gel Content (%),0.97,66,18.7,393,128
Michelin tyre process,Tyre Curing,High Shear Mixing,Sheeting Calender,Michelin,"Isoprene Monomer, Softeners",Carbon Black Reinforcement,Styrene Butadiene Rubber (SBR),Fourier Transform Infrared Spectroscopy (FTIR),0.97,73,17.4,471,143
Michelin tyre process,Microwave Curing,Open Mill Mixing,3-Roll Calender,Michelin,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Styrene Butadiene Rubber (SBR),Fourier Transform Infrared Spectroscopy (FTIR),0.99,55,21.2,443,106
Michelin tyre process,Belt Building,High Shear Mixing,Sheeting Calender,Lanxess,"Isoprene Monomer, Softeners",Bulk Polymerization,Polyisoprene Rubber (IR),Moving Die Rheometry (MDR),0.86,60,21,355,131
Michelin tyre process,Tyre Curing,Internal Mixing,Sheeting Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Solution Polymerization,Styrene Butadiene Rubber (SBR),Tensile Modulus (%),0.95,73,21.4,408,122
Michelin tyre process,Belt Building,Banbury Mixing (Intensive),Sheeting Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Chloroprene Rubber (CR),Gel Content (%),1.01,65,15.6,395,122
Michelin tyre process,Microwave Curing,High Shear Mixing,Sheeting Calender,Goodyear Chemical,"Nitrile Monomer, Vulcanizing Agents",Bulk Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Fourier Transform Infrared Spectroscopy (FTIR),1.05,68,14.8,510,143
Michelin tyre process,Microwave Curing,Two-Stage Mixing,Sheeting Calender,Goodyear Chemical,"Styrene, Butadiene, Antioxidants",Emulsion Polymerization,Butyl Rubber (IIR),Tensile Modulus (%),1.07,73,21.2,472,100
Michelin tyre process,Radial Tyre Building,Banbury Mixing (Intensive),Multi-Roll Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Butyl Rubber (IIR),Fourier Transform Infrared Spectroscopy (FTIR),0.94,58,20.8,470,152
Michelin tyre process,Microwave Curing,High Shear Mixing,3-Roll Calender,Michelin,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Chloroprene Rubber (CR),Dynamic Mechanical Analysis (DMA),0.95,58,19.3,505,141
Michelin tyre process,Cap Ply Winding,High Shear Mixing,3-Roll Calender,Lanxess,"Styrene, Butadiene, Antioxidants",Emulsion Polymerization,Chloroprene Rubber (CR),Moving Die Rheometry (MDR),0.93,62,16,499,113
Michelin tyre process,Cap Ply Winding,Two-Stage Mixing,Multi-Roll Calender,ExxonMobil,"Nitrile Monomer, Vulcanizing Agents",Carbon Black Reinforcement,Butyl Rubber (IIR),Gel Content (%),0.92,58,17.4,356,139
Michelin tyre process,Radial Tyre Building,Internal Mixing,Sheeting Calender,Goodyear Chemical,"Nitrile Monomer, Vulcanizing Agents",Co-Polymerization,Polyisoprene Rubber (IR),Tensile Modulus (%),1.06,61,19.7,430,141
Michelin tyre process,Belt Building,Two-Stage Mixing,4-Roll Calender,ExxonMobil,"Nitrile Monomer, Vulcanizing Agents",Bulk Polymerization,Nitrile Rubber (NBR),Gel Content (%),1.07,71,18.3,473,156
Michelin tyre process,Cap Ply Winding,Two-Stage Mixing,4-Roll Calender,ExxonMobil,"Isoprene Monomer, Softeners",Co-Polymerization,Butyl Rubber (IIR),Tensile Modulus (%),1.07,59,15.5,366,100
Michelin tyre process,Tyre Curing,Open Mill Mixing,Multi-Roll Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),1.04,59,17.6,418,112
Michelin tyre process,Belt Building,Internal Mixing,Sheeting Calender,ExxonMobil,"Isoprene Monomer, Softeners",Emulsion Polymerization,Natural Rubber (NR),Gel Content (%),1.02,65,15.5,397,157
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,Multi-Roll Calender,Lanxess,"Chloroprene Monomer, Plasticizers",Co-Polymerization,Polyisoprene Rubber (IR),Tensile Modulus (%),1.09,62,18.6,524,151
Michelin tyre process,Microwave Curing,Internal Mixing,Sheeting Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Solution Polymerization,Butyl Rubber (IIR),Dynamic Mechanical Analysis (DMA),1,55,15.8,394,147
Michelin tyre process,Microwave Curing,Banbury Mixing (Intensive),3-Roll Calender,Goodyear Chemical,"Nitrile Monomer, Vulcanizing Agents",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Fourier Transform Infrared Spectroscopy (FTIR),1.09,64,14.5,445,128
Michelin tyre process,Cap Ply Winding,Banbury Mixing (Intensive),3-Roll Calender,Goodyear Chemical,"Chloroprene Monomer, Plasticizers",Carbon Black Reinforcement,Nitrile Rubber (NBR),Moving Die Rheometry (MDR),0.91,64,16.3,494,111
Michelin tyre process,Belt Building,Internal Mixing,3-Roll Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Tensile Modulus (%),0.86,66,17,403,124
Michelin tyre process,Tyre Curing,High Shear Mixing,3-Roll Calender,Michelin,"Ethylene, Propylene, Diene monomers",Bulk Polymerization,Nitrile Rubber (NBR),Fourier Transform Infrared Spectroscopy (FTIR),1.01,73,16.7,423,139
Michelin tyre process,Microwave Curing,Open Mill Mixing,Sheeting Calender,Michelin,"Nitrile Monomer, Vulcanizing Agents",Carbon Black Reinforcement,Ethylene-Propylene Diene Monomer (EPDM),Gel Content (%),0.97,64,13.4,398,150
Michelin tyre process,Tyre Curing,Two-Stage Mixing,3-Roll Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Solution Polymerization,Nitrile Rubber (NBR),Fourier Transform Infrared Spectroscopy (FTIR),1.09,67,17.3,435,100
Michelin tyre process,Belt Building,Two-Stage Mixing,Sheeting Calender,ExxonMobil,"Isoprene Monomer, Softeners",Solution Polymerization,Styrene Butadiene Rubber (SBR),Gel Content (%),0.85,72,13.5,549,145
Michelin tyre process,Microwave Curing,High Shear Mixing,Sheeting Calender,Dow Chemical,"Isoprene Monomer, Softeners",Solution Polymerization,Butyl Rubber (IIR),Tensile Modulus (%),0.9,56,14.2,515,154
Michelin tyre process,Radial Tyre Building,Banbury Mixing (Intensive),4-Roll Calender,ExxonMobil,"Isoprene Monomer, Softeners",Solution Polymerization,Butyl Rubber (IIR),Fourier Transform Infrared Spectroscopy (FTIR),1.1,69,14.9,392,154
Michelin tyre process,Microwave Curing,Internal Mixing,Sheeting Calender,Lanxess,"Isoprene Monomer, Softeners",Bulk Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),1.04,63,16.3,502,140
Michelin tyre process,Cap Ply Winding,Banbury Mixing (Intensive),Multi-Roll Calender,Lanxess,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Dynamic Mechanical Analysis (DMA),0.99,68,17.3,514,133
Michelin tyre process,Microwave Curing,Internal Mixing,Sheeting Calender,Goodyear Chemical,"Ethylene, Propylene, Diene monomers",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Tensile Modulus (%),1.02,64,18.3,500,138
Michelin tyre process,Microwave Curing,Internal Mixing,3-Roll Calender,Dow Chemical,"Chloroprene Monomer, Plasticizers",Solution Polymerization,Chloroprene Rubber (CR),Fourier Transform Infrared Spectroscopy (FTIR),0.88,60,19,488,110
Michelin tyre process,Belt Building,Banbury Mixing (Intensive),Sheeting Calender,Goodyear Chemical,"Styrene, Butadiene, Antioxidants",Bulk Polymerization,Styrene Butadiene Rubber (SBR),Moving Die Rheometry (MDR),1.07,65,21,356,153
Michelin tyre process,Tyre Curing,Banbury Mixing (Intensive),4-Roll Calender,Michelin,"Chloroprene Monomer, Plasticizers",Emulsion Polymerization,Ethylene-Propylene Diene Monomer (EPDM),Tensile Modulus (%),0.97,61,19.3,364,123
Michelin tyre process,Cap Ply Winding,Two-Stage Mixing,4-Roll Calender,Lanxess,"Isoprene Monomer, Softeners",Solution Polymerization,Styrene Butadiene Rubber (SBR),Dynamic Mechanical Analysis (DMA),0.88,68,19,482,151
Michelin tyre process,Cap Ply Winding,Open Mill Mixing,Sheeting Calender,Michelin,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Polyisoprene Rubber (IR),Tensile Modulus (%),0.87,56,20.2,369,156
Michelin tyre process,Cap Ply Winding,Internal Mixing,3-Roll Calender,Michelin,"Styrene, Butadiene, Antioxidants",Emulsion Polymerization,Styrene Butadiene Rubber (SBR),Gel Content (%),1.07,55,20.5,469,157
Michelin tyre process,Microwave Curing,Banbury Mixing (Intensive),Sheeting Calender,Dow Chemical,"Ethylene, Propylene, Diene monomers",Co-Polymerization,Nitrile Rubber (NBR),Dynamic Mechanical Analysis (DMA),0.88,74,16.3,544,127
Michelin tyre process,Belt Building,Two-Stage Mixing,3-Roll Calender,ExxonMobil,"Ethylene, Propylene, Diene monomers",Carbon Black Reinforcement,Chloroprene Rubber (CR),Gel Content (%),0.94,71,14.3,544,149
